,Respondents ID,question_1,question_2,question_3,question_4,question_5,question_6,question_7,question_8,question_9,question_10
0,1,5,5,4,5,4,3,4,4,4,3
1,2,5,5,5,3,3,5,5,4,4,5
2,3,4,3,4,5,5,3,4,5,5,3
3,4,5,4,5,5,5,3,3,5,4,4
4,5,5,4,5,5,5,5,5,5,5,3
5,6,5,4,5,5,4,4,3,5,3,5
6,7,3,5,5,5,3,3,4,5,3,5
7,8,4,4,5,5,5,4,3,3,4,4
8,9,3,4,5,4,5,4,4,3,3,3
9,10,5,5,5,5,5,5,4,4,5,5
